PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,World,2030,125.885
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,World,2035,78.555
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,World,2040,53.095
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas,Total energy supply,EJ,World,2050,30.694
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2010,108.745
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2022,136.378
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2023,136.932
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2030,143.635
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2035,142.354
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2040,140.424
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2050,138.754
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2023,136.932
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2030,127.736
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2035,107.597
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2040,90.393
World Energy Outlook 2024,Announced Pledges Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2050,64.624
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2023,136.932
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2030,112.798
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2035,61.786
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2040,32.357
World Energy Outlook 2024,Net Zero Emissions by 2050 Scenario,Energy,Natural gas: unabated,Total energy supply,EJ,World,2050,7.219
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2010,0.267
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2022,0.548
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2023,0.512
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2030,1.038
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2035,1.531
World Energy Outlook 2024,Stated Policies Scenario,Energy,Natural gas: with CCUS,Total energy supply,EJ,World,2040,2.068
