SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2010,173.304
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2022,187.34
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2030,195.141
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2035,188.734
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2040,181.646
Stated Policies Scenario,Energy,Oil,Total energy supply,EJ,2050,175.507
Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2030,178.41
Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2035,156.301
Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2040,132.744
Announced Pledges Scenario,Energy,Oil,Total energy supply,EJ,2050,99.919
Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2023,192.277
Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2030,150.575
Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2035,109.315
Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2040,77.148
Net Zero Emissions by 2050 Scenario,Energy,Oil,Total energy supply,EJ,2050,40.231
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2010,25.563
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2022,29.983
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,36.13
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,38.426
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,39.866
Stated Policies Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,41.293
Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,34.454
Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,35.231
Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,35.157
Announced Pledges Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2050,33.509
Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2023,30.835
Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2030,32.82
Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2035,32.359
Net Zero Emissions by 2050 Scenario,Energy,Oil: non-energy use,Total energy supply,EJ,2040,31.359
